point_id,region,res_mult,steps,seed,w_grav,w_strong,w_em,w_weak,w_exp,w_cool,alc,dmax_grav,acc_d1,accnull_d1,accrob_d1,accrobnull_d1,viable_d1,curv_d1,acc_d2,accnull_d2,accrob_d2,accrobnull_d2,viable_d2,curv_d2,acc_d3,accnull_d3,accrob_d3,accrobnull_d3,viable_d3,curv_d3,acc_d4,accnull_d4,accrob_d4,accrobnull_d4,viable_d4,curv_d4,acc_curv,accnull_curv,accrob_curv,accrobnull_curv,viable_curv,curv_curv
0,0,1,16,0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
0,0,1,16,1,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1
0,0,1,16,2,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1
0,0,2,32,0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2,32,1,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2,32,2,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,4,64,0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,4,64,1,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,4,64,2,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,16,0,0.0,0.0,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,16,1,0.0,0.0,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,16,2,0.0,0.0,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,2,32,0,0.0,0.0,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2,32,1,0.0,0.0,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2,32,2,0.0,0.0,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,4,64,0,0.0,0.0,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,4,64,1,0.0,0.0,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,4,64,2,0.0,0.0,0.0,0.5,0.6,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
