S0,barrido,brazo,k_micro,log_S_total,modo,n_aristas,n_vivos_fin,precision,semilla,sobrevive_finito,tau_final
1e-12,C_S0,REAL,0,-25.551579574248713,absoluto,0,0,float64,1,0,0
1e-12,C_S0,REAL,0,-25.551579574248713,absoluto,0,0,float64,2,0,0
1e-12,C_S0,REAL,0,-25.551579574248713,absoluto,0,0,float64,3,0,0
1e-12,C_S0,REAL,0,-25.551579574248713,absoluto,0,0,float64,4,0,0
1e-12,C_S0,REAL,0,-25.551579574248713,absoluto,0,0,float64,5,0,0
1e-12,C_S0,REAL,0,-25.551579574248713,absoluto,0,0,float64,6,0,0
1e-12,C_S0,REAL,0,-25.551579574248713,absoluto,0,0,float64,7,0,0
1e-12,C_S0,REAL,0,-25.551579574248713,absoluto,0,0,float64,8,0,0
1e-12,C_S0,REAL,0,-25.551579574248713,absoluto,0,0,float64,9,0,0
1e-12,C_S0,REAL,0,-25.551579574248713,absoluto,0,0,float64,10,0,0
1e-12,C_S0,BARAJADO,0,-25.551579574248713,absoluto,0,0,float64,1,0,0
1e-12,C_S0,BARAJADO,0,-25.551579574248713,absoluto,0,0,float64,2,0,0
1e-12,C_S0,BARAJADO,0,-25.551579574248713,absoluto,0,0,float64,3,0,0
1e-12,C_S0,BARAJADO,0,-25.551579574248713,absoluto,0,0,float64,4,0,0
1e-12,C_S0,BARAJADO,0,-25.551579574248713,absoluto,0,0,float64,5,0,0
1e-12,C_S0,BARAJADO,0,-25.551579574248713,absoluto,0,0,float64,6,0,0
1e-12,C_S0,BARAJADO,0,-25.551579574248713,absoluto,0,0,float64,7,0,0
1e-12,C_S0,BARAJADO,0,-25.551579574248713,absoluto,0,0,float64,8,0,0
1e-12,C_S0,BARAJADO,0,-25.551579574248713,absoluto,0,0,float64,9,0,0
1e-12,C_S0,BARAJADO,0,-25.551579574248713,absoluto,0,0,float64,10,0,0
1e-12,C_S0,REAL,500,30.02576258713021,escalado,8,5,float64,1,1,500
1e-12,C_S0,REAL,500,24.62124866135027,escalado,6,4,float64,2,1,500
1e-12,C_S0,REAL,500,27.782337811625663,escalado,6,4,float64,3,1,500
1e-12,C_S0,REAL,500,71.4627129043066,escalado,15,6,float64,4,1,500
1e-12,C_S0,REAL,500,30.01739834998367,escalado,10,5,float64,5,1,500
1e-12,C_S0,REAL,500,32.21129045921876,escalado,15,6,float64,6,1,500
1e-12,C_S0,REAL,500,38.88572172903334,escalado,19,7,float64,7,1,500
1e-12,C_S0,REAL,500,24.18689110228977,escalado,6,4,float64,8,1,500
1e-12,C_S0,REAL,500,15.85653891081818,escalado,7,5,float64,9,1,500
1e-12,C_S0,REAL,500,28.548612172318006,escalado,6,4,float64,10,1,500
1e-12,C_S0,BARAJADO,500,-33.234211043451275,escalado,3,3,float64,1,1,500
1e-12,C_S0,BARAJADO,837,-41.41358144296278,escalado,0,0,float64,2,0,395
1e-12,C_S0,BARAJADO,514,-33.191536686930405,escalado,1,2,float64,3,1,500
1e-12,C_S0,BARAJADO,500,20.665841946553137,escalado,28,8,float64,4,1,500
1e-12,C_S0,BARAJADO,500,-32.29133089636923,escalado,3,3,float64,5,1,500
1e-12,C_S0,BARAJADO,500,-19.47497450689741,escalado,15,6,float64,6,1,500
1e-12,C_S0,BARAJADO,500,-5.973321467383083,escalado,21,7,float64,7,1,500
1e-12,C_S0,BARAJADO,715,-41.37258617223785,escalado,0,0,float64,8,0,297
1e-12,C_S0,BARAJADO,1179,-41.44746718981297,escalado,0,0,float64,9,0,306
1e-12,C_S0,BARAJADO,1024,-41.44664012208307,escalado,0,0,float64,10,0,378
1e-11,C_S0,REAL,0,-23.248994481254666,absoluto,0,0,float64,1,0,0
1e-11,C_S0,REAL,0,-23.248994481254666,absoluto,0,0,float64,2,0,0
1e-11,C_S0,REAL,0,-23.248994481254666,absoluto,0,0,float64,3,0,0
1e-11,C_S0,REAL,0,-23.248994481254666,absoluto,0,0,float64,4,0,0
1e-11,C_S0,REAL,0,-23.248994481254666,absoluto,0,0,float64,5,0,0
1e-11,C_S0,REAL,0,-23.248994481254666,absoluto,0,0,float64,6,0,0
1e-11,C_S0,REAL,0,-23.248994481254666,absoluto,0,0,float64,7,0,0
1e-11,C_S0,REAL,0,-23.248994481254666,absoluto,0,0,float64,8,0,0
1e-11,C_S0,REAL,0,-23.248994481254666,absoluto,0,0,float64,9,0,0
1e-11,C_S0,REAL,0,-23.248994481254666,absoluto,0,0,float64,10,0,0
1e-11,C_S0,BARAJADO,0,-23.248994481254666,absoluto,0,0,float64,1,0,0
1e-11,C_S0,BARAJADO,0,-23.248994481254666,absoluto,0,0,float64,2,0,0
1e-11,C_S0,BARAJADO,0,-23.248994481254666,absoluto,0,0,float64,3,0,0
