origen_tarea,par,rule_id,rol,clase,seed,K,kcap,match_exacto_K_kcap,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,carpeta
tarea_anterior_v1v2_8pares,PAR_piloto_A_r9_r19,A2-B0-C2-r9,I,I,272702,5,7,True,0.08050000000000002,8,0.046,1513.4,0.3859649122807018,0.3824404761904762,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r9_I
tarea_anterior_v1v2_8pares,PAR_piloto_A_r9_r19,A2-B0-C2-r19,III,III,273672,5,7,True,0.08700000000000001,8,0.038,1635.6000000000001,0.43636363636363634,0.4450396825396825,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r19_III
tarea_anterior_v1v2_8pares,PAR_piloto_B_r1_r17,A2-B0-C2-r1,I,I,271926,5,6,False,0.08700000000000002,8,0.038,1635.5999999999997,0.4137931034482758,0.42485119047619047,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r1_I
tarea_anterior_v1v2_8pares,PAR_piloto_B_r1_r17,A2-B0-C2-r17,III,III,273478,5,5,False,0.12100000000000004,8,0.03,2274.8,0.7971014492753623,0.7951388888888888,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r17_III
tarea_anterior_v1v2_8pares,PAR_piloto_C_r6_r14,A2-B0-C2-r6,I,I,272411,7,5,False,0.10050000000000002,8,0.039,1889.4,0.5238095238095237,0.5183531746031745,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r6_I
tarea_anterior_v1v2_8pares,PAR_piloto_C_r6_r14,A2-B0-C2-r14,III,III,273187,8,5,False,0.09900000000000003,8,0.042,1861.1999999999998,0.5151515151515152,0.5080357142857144,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r14_III
tarea_anterior_v1v2_8pares,PAR_v2_D_r2_r20,A2-B0-C2-r2,I,I,372023,5,6,True,0.07600000000000001,8,0.05,1428.8000000000002,0.5000000000000001,0.5074404761904763,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r2_I
tarea_anterior_v1v2_8pares,PAR_v2_D_r2_r20,A2-B0-C2-r20,III,III,373769,5,6,True,0.08650000000000002,8,0.04,1626.2,0.39784946236559127,0.39806547619047605,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r20_III
tarea_anterior_v1v2_8pares,PAR_v2_E_r12_r28,A2-B0-C2-r12,I,I,372993,6,6,True,0.08200000000000002,8,0.037,1541.6,0.37037037037037046,0.3955357142857144,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r12_I
tarea_anterior_v1v2_8pares,PAR_v2_E_r12_r28,A2-B0-C2-r28,III,III,374545,6,6,True,0.08950000000000002,8,0.04,1682.6000000000001,0.4285714285714286,0.4642857142857142,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r28_III
tarea_anterior_v1v2_8pares,PAR_v2_F_r6_r2v1fix,A2-B0-C2-r6,I,I,272411,7,5,True,0.10050000000000002,8,0.039,1889.4,0.5238095238095237,0.5183531746031745,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r6_I
tarea_anterior_v1v2_8pares,PAR_v2_F_r6_r2v1fix,A2-B0-C2-r2v1fix,III,III,272023,7,5,True,0.12150000000000004,8,0.041,2284.2,0.8169014084507041,0.8167613636363636,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r2v1fix_III
tarea_anterior_v1v2_8pares,PAR_v2_G_r12v1fix_r19,A2-B0-C2-r12v1fix,I,I,272993,5,7,True,0.06200000000000002,8,0.052,1165.6,0.3440860215053776,0.3902777777777794,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r12v1fix_I
tarea_anterior_v1v2_8pares,PAR_v2_G_r12v1fix_r19,A2-B0-C2-r19,III,III,273672,5,7,True,0.08700000000000001,8,0.038,1635.6000000000001,0.43636363636363634,0.4450396825396825,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r19_III
tarea_anterior_v1v2_8pares,PAR_v2_H_r9_r39,A2-B0-C2-r9,I,I,272702,5,7,False,0.08050000000000002,8,0.046,1513.4,0.3859649122807018,0.3824404761904762,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r9_I
tarea_anterior_v1v2_8pares,PAR_v2_H_r9_r39,A2-B0-C2-r39,III,III,375612,5,6,False,0.07850000000000001,8,0.045,1475.8000000000002,0.47222222222222177,0.4819940476190472,0,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r39_III
tarea_actual_v3_escala20,A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39,A2-B0-C2-r9v2fix,I,I,372702,5,6,True,0.07500000000000002,8,0.046,1410.0,0.42553191489361675,0.4720238095238093,0,A2-B0-C2-r9v2fix_I
tarea_actual_v3_escala20,A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39,A2-B0-C2-r39,III,III,375612,5,6,True,0.07850000000000001,8,0.045,1475.8000000000002,0.47222222222222177,0.4819940476190472,0,A2-B0-C2-r39_III
tarea_actual_v3_escala20,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,A2-B0-C2-batch3-r100,I,I,481529,5,4,True,0.14999999999999994,8,0.032,2820.0,1.3287671232876717,1.332986111111111,0,A2-B0-C2-batch3-r100_I
tarea_actual_v3_escala20,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,A2-B0-C2-batch3-r0,III,III,471829,5,4,True,0.15049999999999997,8,0.029,2829.4,1.2938596491228065,1.3031249999999994,0,A2-B0-C2-batch3-r0_III
tarea_actual_v3_escala20,A2-B0-C2-batch3-r1_vs_A2-B0-C2-batch3-r69,A2-B0-C2-batch3-r1,I,I,471926,7,6,True,0.078,8,0.052,1466.3999999999999,0.42,0.431547619047619,0,A2-B0-C2-batch3-r1_I
tarea_actual_v3_escala20,A2-B0-C2-batch3-r1_vs_A2-B0-C2-batch3-r69,A2-B0-C2-batch3-r69,III,III,478522,7,6,True,0.08800000000000001,8,0.04,1654.3999999999999,0.43113772455089827,0.4362103174603176,0,A2-B0-C2-batch3-r69_III
tarea_actual_v3_escala20,A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114,A2-B0-C2-batch3-r5,I,I,472314,6,6,True,0.08100000000000003,8,0.044,1522.8,0.35714285714285726,0.3711309523809525,0,A2-B0-C2-batch3-r5_I
tarea_actual_v3_escala20,A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114,A2-B0-C2-batch3-r114,III,III,482887,6,6,True,0.09150000000000004,8,0.04,1720.2,0.44117647058823545,0.44616977225672894,0,A2-B0-C2-batch3-r114_III
tarea_actual_v3_escala20,A2-B0-C2-batch3-r44_vs_A2-B0-C2-batch3-r10,A2-B0-C2-batch3-r44,I,I,476097,7,5,True,0.10150000000000003,8,0.037,1908.2000000000003,0.5925925925925919,0.594494047619047,0,A2-B0-C2-batch3-r44_I
tarea_actual_v3_escala20,A2-B0-C2-batch3-r44_vs_A2-B0-C2-batch3-r10,A2-B0-C2-batch3-r10,III,III,472799,7,5,True,0.12000000000000002,8,0.034,2256.0,0.8823529411764706,0.8836805555555556,0,A2-B0-C2-batch3-r10_III
tarea_actual_v3_escala20,A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12,A2-B0-C2-batch3-r86,I,I,480171,5,5,True,0.09450000000000001,8,0.035,1776.6,0.5,0.4977678571428572,0,A2-B0-C2-batch3-r86_I
tarea_actual_v3_escala20,A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12,A2-B0-C2-batch3-r12,III,III,472993,5,5,True,0.10150000000000003,8,0.037,1908.2,0.5440414507772019,0.5547916666666665,0,A2-B0-C2-batch3-r12_III
tarea_actual_v3_escala20,A2-B0-C2-batch3-r50_vs_A2-B0-C2-batch3-r21,A2-B0-C2-batch3-r50,I,I,476679,6,5,True,0.10000000000000003,8,0.04,1880.0,0.5340314136125656,0.5321848290598291,0,A2-B0-C2-batch3-r50_I
tarea_actual_v3_escala20,A2-B0-C2-batch3-r50_vs_A2-B0-C2-batch3-r21,A2-B0-C2-batch3-r21,III,III,473866,6,5,True,0.09650000000000004,8,0.042,1814.1999999999998,0.48387096774193544,0.5052083333333333,0,A2-B0-C2-batch3-r21_III
tarea_actual_v3_escala20,A2-B0-C2-batch3-r48_vs_A2-B0-C2-batch3-r25,A2-B0-C2-batch3-r48,I,I,476485,8,5,True,0.09900000000000003,8,0.041,1861.2,0.47826086956521735,0.4868551587301586,0,A2-B0-C2-batch3-r48_I
tarea_actual_v3_escala20,A2-B0-C2-batch3-r48_vs_A2-B0-C2-batch3-r25,A2-B0-C2-batch3-r25,III,III,474254,8,5,True,0.113,8,0.03,2124.4,0.6865671641791045,0.6875,0,A2-B0-C2-batch3-r25_III
tarea_actual_v3_escala20,A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31,A2-B0-C2-batch3-r35,I,I,475224,4,5,True,0.09750000000000003,8,0.036,1833.0,0.5312499999999999,0.5410714285714285,0,A2-B0-C2-batch3-r35_I
tarea_actual_v3_escala20,A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31,A2-B0-C2-batch3-r31,III,III,474836,4,5,True,0.11700000000000002,8,0.036,2199.6,0.8095238095238093,0.8106481481481479,0,A2-B0-C2-batch3-r31_III
tarea_actual_v3_escala20,A2-B0-C2-batch3-r9_vs_A2-B0-C2-batch3-r83,A2-B0-C2-batch3-r9,I,I,472702,7,6,True,0.07650000000000001,8,0.046,1438.2,0.4130434782608696,0.42321428571428577,0,A2-B0-C2-batch3-r9_I
tarea_actual_v3_escala20,A2-B0-C2-batch3-r9_vs_A2-B0-C2-batch3-r83,A2-B0-C2-batch3-r83,III,III,479880,7,6,True,0.08700000000000001,8,0.043,1635.6000000000001,0.41935483870967755,0.4231150793650795,0,A2-B0-C2-batch3-r83_III
tarea_actual_v3_escala20,A2-B0-C2-batch3-r53_vs_A2-B0-C2-batch3-r23,A2-B0-C2-batch3-r53,I,I,476970,7,5,True,0.09600000000000003,8,0.032,1804.8,0.43749999999999994,0.44766865079365076,0,A2-B0-C2-batch3-r53_I
tarea_actual_v3_escala20,A2-B0-C2-batch3-r53_vs_A2-B0-C2-batch3-r23,A2-B0-C2-batch3-r23,III,III,474060,7,5,True,0.11750000000000005,8,0.032,2209.0,0.7638888888888888,0.751736111111111,0,A2-B0-C2-batch3-r23_III
tarea_actual_v3_escala20,A2-B0-C2-batch3-r104_vs_A2-B0-C2-batch3-r60,A2-B0-C2-batch3-r104,I,I,481917,6,5,True,0.09850000000000003,8,0.04,1851.8,0.5230769230769231,0.5210813492063492,0,A2-B0-C2-batch3-r104_I
