anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante,coberturaTempReal_pct
1966,0.00,96.17,0.00,3.83,CIERRE,0.0
1967,0.00,100.00,0.00,0.00,CIERRE,0.0
1968,0.00,100.00,0.00,0.00,CIERRE,0.0
1969,0.00,100.00,0.00,0.00,CIERRE,0.0
1970,0.00,100.00,0.00,0.00,CIERRE,0.0
1971,0.00,100.00,0.00,0.00,CIERRE,0.0
1972,0.00,94.26,0.00,5.74,CIERRE,0.0
1973,0.00,98.09,0.00,1.91,CIERRE,0.0
1974,0.00,100.00,0.00,0.00,CIERRE,0.0
1975,0.00,100.00,0.00,0.00,CIERRE,0.0
1976,0.00,100.00,0.00,0.00,CIERRE,0.0
1977,0.00,94.26,0.00,5.74,CIERRE,0.0
1978,0.00,100.00,0.00,0.00,CIERRE,0.0
1979,0.00,100.00,0.00,0.00,CIERRE,0.0
1980,0.00,96.17,0.00,3.83,CIERRE,0.0
1981,24.94,19.18,38.63,17.25,SELVA_HOSTIL,100.0
1982,24.92,26.81,26.87,21.39,SELVA_HOSTIL,100.0
1983,15.33,13.42,44.38,26.86,SELVA_HOSTIL,100.0
1984,15.37,11.48,53.69,19.45,SELVA_HOSTIL,100.0
1985,17.56,7.67,57.52,17.26,SELVA_HOSTIL,100.0
1986,26.84,13.44,38.62,21.10,SELVA_HOSTIL,100.0
1987,9.59,24.93,42.46,23.02,SELVA_HOSTIL,100.0
1988,11.56,4.11,68.99,15.35,SELVA_HOSTIL,100.0
1989,19.20,5.75,55.60,19.45,SELVA_HOSTIL,100.0
1990,17.28,5.75,61.34,15.62,SELVA_HOSTIL,100.0
1991,19.18,25.19,30.69,24.94,SELVA_HOSTIL,100.0
1992,3.86,21.09,44.37,30.69,SELVA_HOSTIL,100.0
1993,23.03,1.93,53.96,21.09,SELVA_HOSTIL,100.0
1994,24.93,11.50,52.06,11.51,SELVA_HOSTIL,100.0
1995,11.55,19.16,53.67,15.62,SELVA_HOSTIL,100.0
1996,34.53,1.92,52.03,11.52,SELVA_HOSTIL,100.0
1997,19.17,23.03,21.38,36.42,COLAPSO,100.0
1998,19.19,11.51,53.95,15.35,SELVA_HOSTIL,100.0
1999,15.34,15.37,26.85,42.44,COLAPSO,100.0
2000,23.00,11.50,46.31,19.19,SELVA_HOSTIL,100.0
2001,15.36,17.26,40.27,27.11,SELVA_HOSTIL,100.0
2002,15.37,13.42,36.70,34.52,SELVA_HOSTIL,100.0
2003,25.21,1.93,61.37,11.50,SELVA_HOSTIL,100.0
2004,17.29,13.42,55.84,13.45,SELVA_HOSTIL,100.0
2005,19.46,3.86,40.27,36.41,SELVA_HOSTIL,100.0
2006,28.79,7.68,36.69,26.84,SELVA_HOSTIL,100.0
2007,5.79,4.11,69.01,21.09,SELVA_HOSTIL,100.0
2008,9.61,13.44,49.84,27.11,SELVA_HOSTIL,100.0
2009,19.44,15.34,51.78,13.44,SELVA_HOSTIL,100.0
2010,19.19,15.59,55.62,9.59,SELVA_HOSTIL,100.0
2011,15.37,13.41,55.86,15.35,SELVA_HOSTIL,100.0
2012,19.47,9.60,47.92,23.01,SELVA_HOSTIL,100.0
2013,19.19,11.52,44.37,24.92,SELVA_HOSTIL,100.0
2014,19.16,11.52,46.31,23.01,SELVA_HOSTIL,100.0
2015,28.78,15.34,42.46,13.42,SELVA_HOSTIL,100.0
2016,28.74,11.80,26.88,32.58,COLAPSO,100.0
2017,17.26,9.61,42.46,30.67,SELVA_HOSTIL,100.0
2018,24.94,9.58,42.47,23.00,SELVA_HOSTIL,100.0
2019,9.61,9.60,51.76,29.03,SELVA_HOSTIL,100.0
2020,13.69,23.01,32.60,30.70,SELVA_HOSTIL,100.0
2021,13.43,24.95,11.52,50.11,COLAPSO,100.0
2022,3.84,21.37,32.60,42.19,COLAPSO,100.0
2023,9.60,40.27,11.50,38.63,CIERRE,100.0
2024,0.00,25.21,0.00,74.79,COLAPSO,100.0
2025,13.40,23.05,21.38,42.17,COLAPSO,100.0
2026,0.01,52.07,28.76,19.16,CIERRE,59.7
2027,0.00,100.00,0.00,0.00,CIERRE,0.0
